tweet,sarcastic,rephrase,dialect
ضبط شخص بدبلوم انتحل صفة طبيب بلد مافيش حد فيها بيشتغل بشهادته,1,شخص ينتحل صفة طبيب ويفتتح عيادة فى بلد فاشلة ضاعت فيها الرقابة ,nile
مش معنى انك قولتلى رايك يبقى أنا هعمل بيه طب افرض انت حمار استحمر أنا كما زيك,1,مش لازم دائما اعمل برأيك,nile
اية المهلبية دي يصحبي,1,ما هذا الجمال,nile
الحديث قياس فيه الفضة و فيه النحاس,1,لسانك ترجمان قلبك,magreb
ده فاكر نفسه باشا و بيه كمان,1,ده مغرور و شايف نفسه علىالناس,nile
حامل في السادس وماكنتش ملاحظ ده قبل الجواز طب وبالنسبة لليلة الدخلة.,1,انت مغفل وتزوجت إمرأة حامل ولم تلاحظ,nile
الدنيا عاملة زى اوضة وصالة كل ما امشى فى حته الاقى ايمن فى وشى,1,الدنيا صغيرة ودايما نلاقى فيها حد نعرفه,nile
مهما دورت ولفيت عمرك ما هتلاقي حد يحس بيك غير كرشك,1,محدش هينفعك غير بطنك انما اي حد تاني مش هيحس بيك,nile
فلوس ايه يا امى اللى احوشها من شغلى ده أنا مافيش فلوس اروح الشغل بكره,1,مرتبى قليل ومش معايا فلوس حتى المواصلات للشغل,nile
وراء كل رجل عظيم امراه تقول له انت لست عظيما,1,المراه تحاول احباط زوجها وهو بمنطلق العند يحاول ان يكون عظيما,msa
نفسي افهم مين الي نزل الكائن ده كتالوج الحريم,1,دى وحشة أوى علشان تبقي فى المجلات ومشهورة,nile
سنة أغسطس بيكون فيها فجوة زمنية مجهولة الأيام بتبقى تصاعدي ليوم 15 وترجع تنازلي تاني ليوم 15,1,شهر اغسطس يبدو طويلا جدا,nile
اللصوص مفيش اتعس منهم الناس قاعدة في البيوت ولو حبوا يتوبوا فالمساجد مقفولة,1,الكرونا وقفت حال اللصوص,nile
اللي تعرف ديته اقتله,1,حاول ان تجد نقاط ضعف خصمك,nile
مبروك كسبت جايزة اوبل في الذكاء,1,انت غبي,nile
هيورينا ايام اسود من قرن الخروب,1,هيورينا ايام صعبة وشديدة,nile
"فينجر طلب مني الخضوع لاختبار قبل ضمي للأرسنال، في البداية وافقت ثم أجبته كما يلي زلاتان لا يقوم بالاختبارات""  😂""",1,مدرب فريق ارسنال يطلب من اللاعب ابراهيموفيتش الدخول فى اختبارات قبل الانضمام لكنه يرفض,msa
فيه ٣ في القاهرة حابسين نفسهم في بيوتهم حد يقولهم ينزلوا علشان نكمل لمتنا.,1,القاهرة زحمة ومفيش اهتمام بالعزل المنزلي,nile
لي قرا قرا بكري,1,خلص وقت الدراسة,magreb
انا خايف أن بسبب الحظر أضطر اتفرج علي مسلسل نبيلة عبيد,1,أنا خايف بسبب الملل فى الحظر أعمل حاجات مش بحبها,msa
يقولو بلي تكري فإيبيزا ولا فالسات تستقاملك كيف كيف كيما هدا لوتال,1,سعر الفندق غالي,magreb
شهر سبتمبر عدى منها خمسة عشر يوم فى ثلاث ايام فقط ياريت كل الشهور تتعلم منه,1,شهر سبتمبر عدى بسرعة,nile
الدنيا مترو والشمال كتروا,1,البنات الفاسقات كتروا فى المجتمع,nile
بوتفليقة قالكم رايحين تعيشو في جنة,1,بوتفليقة قالكم رايحين تعيشو كي الملوك,magreb
الجنرال شنقريحة شرا المباراة باه يلهي الشباب عن الحراك واضحة,1,سخرية من الناس اللذين يتهمون النظام بافتعال كل شيء بغرض الهاء الشارع,magreb
ميزانية الفيلم ده ماتعديش التسعه جنيه ونص ويقولك ان السينما عندنا قويه ومصروف عليها,1,انتاج ضعيف وجوده رديئه للفيلم,nile
تعالي كل مكرونا وانسي اللي حصل من ايفونا,1,هزيمة نادى الزمالك من الأهلى عندما احرز الهدف ماليك إيفونا,nile
تبدلني أنا 90 كيلو شحم ولحم بزوج كيلو بطاطا,1,تبدلني أنا بكل وزني بهذه النحيلة,magreb
انا لو انخطفت وطلبوا ٥٠٠٠ ابويا هيقول اقتلوه اوفر,1,ابي لا يهتم بي ولا يريدني,nile
ياريتنا افتكرنا ربع جنيه,1,ياريت كنت افتكرت اي حاجه حلوه,nile
حوحو يشكر روحو,1,يزي ما تشكر في روحك,magreb
تونس باريس تذكرة بثمنين اورو الجزائر باريس تذكرة بسبعمية و خمسين وزيد تركب في طيارة شغل سوناكوم,1,سعر تذكرة غالي و نوعية الطائرة كانها باص زمان,magreb
ده حيتحفل عليه,1,ده حيتريقوا عليه جامد,nile
اللى يشوف الفنانين من غير مكياج يلطم,1,الفنانين وحشين من غير مكياج,nile
الباب الي يجيلك منه الريح شيله وركب قبنوري,1,الي يعملك مشاكل شيله من حياتك,nile
2019: كسول ومش مستفيدين منه حاجة 2020: مواطن واعي ومسؤول,1,تغير نظرة الحكومات و الناس عن الشخص اللي مبيتحركش من بيته بسبب الكورونا,nile
هم يزعلون لازم ( تقدر ظروفهم ) انت تزعل عيب انت جدار شفيك نسيت,1,الست من حقها تزعل لكن الراجل مش من حقه,gulf
